"","x"
"466","ENSG00000083123"
"467","ENSG00000110092"
"468","ENSG00000171791"
"469","ENSG00000140379"
"470","ENSG00000171552"
"471","ENSG00000129473"
"472","ENSG00000069399"
"473","ENSG00000113916"
"474","ENSG00000110987"
"475","ENSG00000116128"
"476","ENSG00000048462"
"477","ENSG00000099822"
"478","ENSG00000128617"
"479","ENSG00000186716"
"480","ENSG00000215456"
"481","ENSG00000074582"
"482","ENSG00000236824"
"483","ENSG00000161267"
"484","ENSG00000275544"
"485","ENSG00000100739"
"486","ENSG00000168398"
"487","ENSG00000176697"
"488","ENSG00000243649"
"489","ENSG00000204359"
"490","ENSG00000242335"
"491","ENSG00000239754"
"492","ENSG00000241534"
"493","ENSG00000241253"
"494","ENSG00000243570"
"495","ENSG00000125864"
"496","ENSG00000242252"
"497","ENSG00000182492"
"498","ENSG00000079385"
"499","ENSG00000145692"
"500","ENSG00000151746"
"501","ENSG00000015475"
"502","ENSG00000100290"
"503","ENSG00000057657"
"504","ENSG00000136573"
"505","ENSG00000285369"
"506","ENSG00000197299"
"507","ENSG00000108578"
"508","ENSG00000160683"
"509","ENSG00000106605"
"510","ENSG00000090013"
"511","ENSG00000169594"
"512","ENSG00000168283"
"513","ENSG00000168487"
"514","ENSG00000125845"
"515","ENSG00000152785"
"516","ENSG00000125378"
"517","ENSG00000112175"
"518","ENSG00000153162"
"519","ENSG00000101144"
"520","ENSG00000116985"
"521","ENSG00000107779"
"522","ENSG00000138696"
"523","ENSG00000204217"
"524","ENSG00000102010"
"525","ENSG00000168495"
"526","ENSG00000113734"
"527","ENSG00000140299"
"528","ENSG00000176171"
"529","ENSG00000104765"
"530","ENSG00000176720"
"531","ENSG00000151914"
"532","ENSG00000183770"
"533","ENSG00000172331"
"534","ENSG00000137274"
"535","ENSG00000101425"
"536","ENSG00000012048"
"537","ENSG00000157764"
"538","ENSG00000139618"
"539","ENSG00000137948"
"540","ENSG00000185650"
"541","ENSG00000152518"
"542","ENSG00000102239"
"543","ENSG00000172270"
